"B"	"CD8T"	"Ductal"	"Endothelial"	"Fibroblasts"	"Mono/Macro"
"Bulk_1"	0.285363846044012	0.280376111485666	0.0731049356177219	0.0572209766952832	0.13325394293758	0.170680187219737
"Bulk_2"	0.282181813596059	0.277518290362786	0.0746093154321644	0.0600610046244078	0.132269536983283	0.1733600390013
"Bulk_3"	0.284126687879557	0.279095954050181	0.0746290368593433	0.060113632771204	0.128423093125993	0.173611595313722
"Bulk_4"	0.285530870297991	0.282958892963593	0.0740455041775645	0.0590814767059218	0.125997592381356	0.172385663473574
"Bulk_5"	0.281763202575046	0.275131497568242	0.0747004930709845	0.0601421466015281	0.134404735499983	0.173857924684216
"Bulk_6"	0.286371408812547	0.281262032391051	0.073668112733319	0.0594092245811875	0.126939988330259	0.172349233151636
"Bulk_7"	0.283245824555924	0.278340866933849	0.075034950132694	0.0614570059831671	0.124307990215289	0.177613362179077
"Bulk_8"	0.291931476327809	0.286385799338603	0.070900636753918	0.0578408987734264	0.124831439899754	0.168109748906489
"Bulk_9"	0.287986673827927	0.282816532726628	0.0718914791005724	0.0581899857997983	0.129681390618971	0.169433937926103
"Bulk_10"	0.290843154046004	0.285529398295743	0.0699936394857956	0.0574675952719054	0.129863784185859	0.166302428714693
"Bulk_11"	0.287192158555555	0.281966094935996	0.074363867556162	0.0595514937629801	0.122957827999708	0.1739685571896
"Bulk_12"	0.286167035113489	0.281078892271413	0.0730087322926859	0.0586533623052857	0.127013253838314	0.174078724178812
"Bulk_13"	0.304990837354272	0.29847931542923	0.0653651607491092	0.0532381350914766	0.116659484432083	0.161267066943829
"Bulk_14"	0.283818448992609	0.278984349225804	0.0755914018203937	0.0601906973787282	0.125928906127289	0.175486196455177
"Bulk_15"	0.29022555320207	0.284968303013553	0.0730844349738312	0.0578701795517661	0.121292712218455	0.172558817040326
"Bulk_16"	0.275758428211853	0.27146390325346	0.0769632881611365	0.0621508026716633	0.137748659658919	0.175914918042968
"Bulk_17"	0.287191874639942	0.281930796061678	0.0728983366378024	0.0590629300573353	0.127738120197293	0.171177942405949
"Bulk_18"	0.29646816210588	0.290687086124457	0.0654033387863148	0.0538096192545439	0.133721616290204	0.1599101774386
"Bulk_19"	0.293036902538426	0.28749035703245	0.0704955813403261	0.056462490679234	0.124083661358964	0.1684310070506
"Bulk_20"	0.285267055610281	0.280007016886115	0.0735906038747404	0.0594939151645548	0.129309165471439	0.17233224299287
"Bulk_21"	0.282087441226808	0.277465254806149	0.0744893371192312	0.0593699625669795	0.133338589783234	0.173249414497599
"Bulk_22"	0.299745996233397	0.293403848929229	0.0672526638951698	0.0550876951136918	0.120233906983779	0.164275888844734
"Bulk_23"	0.294174585351406	0.288620163433581	0.0690701765697257	0.0556468126696671	0.126464117952109	0.16602414402351
"Bulk_24"	0.288719076907508	0.283405668522722	0.0747433486271594	0.058196959050547	0.118727300214603	0.17620764667746
"Bulk_25"	0.28623139498002	0.281115044412414	0.0728510205396922	0.0584721187436628	0.130018194920161	0.171312226404049
"Bulk_26"	0.292024618197612	0.286574422921933	0.0719798995461082	0.057531463075048	0.12008259426553	0.171807001993769
"Bulk_27"	0.288446357669575	0.283027540673679	0.0727741248599025	0.0592958133732193	0.124672674219124	0.1717834892045
"Bulk_28"	0.283810828897609	0.278996238881987	0.0767005607762594	0.0612684652311451	0.122414500888324	0.176809405324675
"Bulk_29"	0.288665568108597	0.283332180204668	0.0717474165316207	0.0586286560810538	0.12863580114778	0.168990377926281
"Bulk_30"	0.286867624784295	0.281837237389647	0.0717509773655681	0.058733163050171	0.13235544897488	0.168455548435438
"Bulk_31"	0.29299856973084	0.287304710174676	0.0695386079641723	0.0559179926309427	0.127074594628455	0.167165524870915
"Bulk_32"	0.291332063978628	0.285782665429842	0.0702647503342444	0.0563470557283121	0.127974416086556	0.168299048442417
"Bulk_33"	0.283017433919555	0.278074621265264	0.072460250228885	0.0584296831814725	0.137913425350151	0.170104586054672
"Bulk_34"	0.287840351743454	0.282723769076895	0.0725937000209626	0.0579899319357367	0.12802131257801	0.170830934644942
"Bulk_35"	0.284909980562821	0.280055201076095	0.075456440916331	0.0601642881922547	0.122107610984779	0.177306478267719
"Bulk_36"	0.28192908642188	0.27716927240215	0.0762220371193867	0.0610697637888315	0.127440866194155	0.176168974073597
"Bulk_37"	0.287454787515902	0.282366625654792	0.0741176233889939	0.0592595795362322	0.123622073418731	0.173179310485349
"Bulk_38"	0.28649022957988	0.28127026970748	0.0722912541713708	0.0591282442825204	0.130336628275355	0.170483373983394
"Bulk_39"	0.283396167028165	0.278828762634864	0.0753593330602681	0.0597290561902654	0.127944456384132	0.174742224702306
"Bulk_40"	0.277827532734362	0.27318753977073	0.0775079387918042	0.0623798797579938	0.1314453205134	0.17765178843171
"Bulk_41"	0.290818792566319	0.28522042429672	0.0699797227405954	0.0571118941912035	0.128418603242246	0.168450562962916
"Bulk_42"	0.290486810862473	0.289472294439768	0.0685017668652722	0.0542743414104623	0.131619956088249	0.165644830333776
